Type,Filename,Time(s),Charge(uC),Ip(nA),FWHM(eV),Chi^2,SiK,P K,S K,ClK,K K,CaK,TiK,V K,CrK,MnK,FeK,CoK,NiK,CuK,ZnK,AsK,BrK,RbK,SrK,ZrK,BrL,RbL,SrL,ZrL,SnL,SbL,BaL,PbL,PbMA
%Fit err,356022.spo,0,0.3,0,181.3,1.885,6.5,0,0,5.46,0.4,0.58,2.27,0,0,1.28,1.76,0,33.92,16.06,0,10.71,0,215.03,42.21,53.6,53.92,28.16,0,0,0,0,41.32,0.3,0.82
%Fit err,356023.spo,0,0.3,0,180.2,2.032,2.11,0,21.01,1.31,0.42,0.26,0.87,0,0,0.34,0.43,48.8,22.97,6.85,10.07,19.65,22.21,40.07,11.29,38.07,85.25,0,0,26.78,27.27,0,16.63,69.09,226.07
%Fit err,356024.spo,0,0.3,0,179.9,1.694,2.16,0,18.89,1.27,0.4,0.28,1.07,0,0,0.6,0.51,0,27.61,25.52,9,431.39,17.24,59.24,11.55,50.82,54.63,0,0,84.65,0,0,21.54,33.73,0
%Fit err,356025.spo,0,0.3,0,179.8,2.007,7.18,0,23.74,1.58,0.36,0.26,2.08,0,41.24,3.49,0.49,0,33.42,34.32,7.57,24.05,26.15,28.9,6.71,88.35,39.59,28.78,0,224.92,0,0,23.23,3.05,34.05
%Fit err,356026.spo,0,0.3,0,181.1,1.721,1.92,0,23.86,1.15,0.4,0.25,2.2,41.69,91.09,3.44,0.5,0,24.94,25.95,7.3,53.87,21.63,56.66,11.24,0,0,0,0,27.1,45.46,0,81.33,103.91,103.48
%Fit err,356027.spo,0,0.3,0,181.1,2.016,1.84,0,18.06,1.17,0.39,0.26,2.49,0,0,0.83,0.66,0,19.8,31.01,10.78,54.5,24.88,43.05,8.94,0,0,0,0,51.18,262.28,0,21.07,77.91,0
%Fit err,356028.spo,0,0.3,0,179.3,1.942,2.1,0,14.67,1.47,0.39,0.29,1.27,38.98,56.16,0.42,0.41,11.17,8.67,8.34,6.81,6.82,37.44,29.11,9.87,0,105.71,0,0,28.07,25.67,45.89,6.57,11.43,411.1
%Fit err,356029.spo,0,0.3,0,178.9,2.187,2.06,0,16.98,1.33,0.39,0.27,1.36,0,0,0.49,0.46,13.14,11.18,22.26,8.72,24.66,22.68,121.04,6.88,0,184.6,0,0,34.98,26.59,0,10.43,3.57,30.09
%Fit err,356030.spo,0,0.3,0,179.1,1.854,1.93,0,15.15,1.21,0.39,0.28,1.31,0,0,0.6,0.47,16.84,21.08,6.32,9.26,19.25,22.89,50.17,8.07,0,88.36,0,0,37.44,21.53,0,17.16,11.53,424.45
%Fit err,356031.spo,0,0.3,0,179.5,1.932,2.05,0,19.5,1.3,0.38,0.27,1.03,0,0,0.47,0.45,26.16,21.82,15.7,10.05,9.26,14.51,27.55,9.01,270.95,66.98,0,0,53.4,0,0,7.69,14.57,174.64
%Fit err,356032.spo,0,0.3,0,179.1,3.019,1.89,0,11.65,1.11,0.35,0.23,0.8,0,0,0.36,0.3,14.08,10.48,11.53,5.84,7.97,10.75,20.66,5.49,76.31,77.59,0,0,37.17,0,0,6.9,10.03,996.03
%Fit err,356033.spo,0,0.3,0,180.1,1.661,5.88,0,19.92,1.37,0.45,0.31,1.93,0,28.03,3.91,0.5,613.26,26.12,41.02,6.9,103.07,19.82,78,13.2,0,54.48,36.59,0,69.18,0,0,21.1,13.1,182.78
%Fit err,356034.spo,0,0.3,0,177.6,2.027,5.88,0,17.07,1.27,0.38,0.24,1.47,0,308.29,3.23,0.49,0,16.45,17.34,8.84,55.94,31.98,27.66,5.87,312.47,42.42,33.63,0,0,0,0,0,92.41,0
%Fit err,356035.spo,0,0.3,0,180.1,1.818,1.92,0,26.16,1.13,0.4,0.25,2.04,0,32.73,3.39,0.49,0,39.58,22.81,7.63,39.38,20.37,52.38,11.55,0,0,0,0,24.16,64.73,0,70.32,0,61.11
%Fit err,356036.spo,0,0.3,0,178.8,2.181,2.12,15.41,17.85,1.09,0.4,0.26,0.78,0,30.89,0.31,0.39,99.19,25.4,5.93,10.4,19.11,23.07,28.64,7.98,0,52.9,0,0,0,44.27,60.64,10.73,0,0
%Fit err,356037.spo,0,0.3,0,178.9,1.74,1.96,0,10.09,1.19,0.4,0.28,1.28,0,0,0.58,0.43,16.7,16.12,16.07,7.68,14.02,15.98,50.03,10.94,237.82,100.9,0,0,39.72,39.82,0,11.6,11.74,0
%Fit err,356038.spo,0,0.3,0,179.5,1.761,1.94,0,12.15,1.26,0.39,0.27,1.21,0,26.36,0.54,0.4,18.13,16.55,20.02,6.66,15.94,18.9,46.07,9.08,0,76.71,0,0,48.77,26.79,0,13,9.21,193.89
%Fit err,356039.spo,0,0.3,0,180,2.159,2.03,0,16.88,1.15,0.39,0.26,1.24,0,0,0.43,0.44,23.84,21.05,18.92,8.07,47.64,38.73,65.22,6.93,0,279.03,0,0,32.41,25.6,0,10.37,6.38,138.02
