Type,Filename,Time(s),Charge(uC),Ip(nA),FWHM(eV),Chi^2,NaK,MgK,AlK,SiK,P K,S K,ClK,K K,CaK,TiK,V K,CrK,MnK,FeK,CoK,NiK,CuK,ZnK,CuL,SrL,SnL,BaL,PbL,PbMA
%Fit err,359025.spo,0,0.3,0,176.6,0.456,10.37,15.97,1.54,0.17,0,36.96,11.96,0.63,1.97,30.57,0,219.64,23.79,41.67,0,0,0,0,72.36,4.82,29.25,136.73,6.65,0.55
%Fit err,359026.spo,0,0.3,0,182.6,0.523,0.63,1.25,0.9,0.17,4.33,19.16,1.78,1.09,0.83,11.81,0,25.71,5.36,6.82,0,0,0,0,0,5.52,27.07,81.84,0,72.79
%Fit err,359027.spo,0,0.3,0,184.2,0.375,0.55,1.44,0.62,0.19,8.43,11.48,1.86,0.72,0.78,19.6,63.9,98.14,10.37,8.04,0,0,0,0,0,5.15,33.72,31.08,0,0
%Fit err,359028.spo,0,0.3,0,181.8,0.282,0.8,1.48,2.22,0.18,7.54,19.23,2.46,0.67,0.87,51.88,93.4,0,52.05,11.73,0,0,0,0,0,5.77,43.16,73.52,0,13.06
%Fit err,359029.spo,0,0.3,0,180.8,0.281,0.75,2.4,1.93,0.59,3.8,22.22,1.76,1.28,1.17,112.18,130.31,83.25,114.28,10.83,0,0,0,0,0,5.7,34.65,109.11,0,659.05
%Fit err,359030.spo,0,0.3,0,179.2,0.338,0.65,1.26,2.29,0.18,6.99,10.23,1.66,1,0.93,50.61,0,0,19.54,12.6,0,0,0,0,0,4.6,67.08,117.49,0,0
%Fit err,359031.spo,0,0.3,0,183.2,0.269,0.63,1.58,1.09,0.19,4.46,13.44,2.21,0.86,1.05,17.2,0,0,7.14,7.72,79.23,0,0,0,0,5.24,62.28,42.99,0,103.17
%Fit err,359035.spo,0,0.3,0,180.3,0.294,0.56,1.43,1.42,0.18,8.64,12.6,2.08,1.08,1.06,28.31,117.95,50.84,11.9,9.3,0,0,0,0,0,5.41,26.06,74.38,0,36.16
%Fit err,359036.spo,0,0.3,0,179.7,0.557,0.57,1.43,0.92,0.18,6.72,8.49,1.52,0.78,0.91,13.91,0,0,8.26,9.16,0,0,0,0,0,5.36,0,97.38,0,0
%Fit err,359037.spo,0,0.3,0,180,0.335,0.73,1.57,1.66,0.57,6.21,8.39,1.49,1.1,1.24,19.4,0,0,10.09,9.08,0,0,0,0,0,4.61,41.84,49.62,0,0
%Fit err,359038.spo,0,0.3,0,182,0.399,0.5,1.65,1.06,0.17,5.24,12.27,1.75,0.86,0.86,18.19,0,37.96,8.18,8.24,0,0,0,0,0,4.88,18.54,0,71.29,13.49
%Fit err,359039.spo,0,0.3,0,183.1,0.304,0.62,1.49,2.07,0.17,7.68,13.24,1.81,1.01,1.01,35.2,0,28.35,0,8.13,0,0,0,0,0,5.5,39.96,0,0,36.2
%Fit err,359040.spo,0,0.3,0,182.1,0.284,0.71,1.2,1.76,0.23,7.41,13.34,2,0.78,0.73,20.67,0,0,64.19,9.9,71.66,0,0,0,0,4.79,63.2,0,0,423.38
%Fit err,359041.spo,0,0.3,0,183.9,0.339,0.54,2.32,1.82,0.16,3.84,45.76,1.54,0.93,0.84,50.15,0,139.37,147.1,12.05,0,0,0,0,0,7.05,50.57,63.57,0,57.36
%Fit err,359042.spo,0,0.3,0,183.7,0.448,0.69,1.35,0.95,0.2,3.91,11.53,1.65,1.13,0.88,14.76,153.97,138.21,5.84,8.39,0,0,0,146.06,0,6.38,28.51,63.08,0,0
%Fit err,359043.spo,0,0.3,0,179.7,0.431,0.7,1.52,1.45,0.49,8.15,9.91,2.22,1.21,1.31,17.14,0,0,12.06,9.06,76.16,0,0,0,0,5.14,51.46,109.21,0,50.93
%Fit err,359044.spo,0,0.3,0,179.5,0.556,0.51,1.33,1.29,0.17,8.98,9.71,1.97,0.99,1.02,29.54,53.71,61.5,10.45,8.76,57.88,0,0,0,0,5.81,19.31,84.29,0,49.99
%Fit err,359045.spo,0,0.3,0,186.1,0.496,0.53,1.66,1.47,0.18,6.75,17.26,1.69,1,0.94,13.26,0,30.95,8.04,9.27,51.82,0,0,0,0,5.56,17,0,0,28.11
